# Graph Type: undirected
MYCBPAP	CDK19
FAM107A	PPP2R2A
CCAR2	WRAP73
MPDU1	QRICH2
PAICS	DGKE
GAPDH	QRICH2
MAGEB2	RPL34
CCNA1	VPS18
TWF2	ACTR3B
CCNH	RADIL
MOV10	PUF60
PTP4A3	MSH2
CNBP	BRIX1
GSK3B	IGF2BP1
CDC20	YARS2
CDK2	RADIL
ARHGDIA	IGF2BP1
SPAG9	EIF4A2
TIMM50	PELO
CEP135	WRAP73
CNTF	EIF3E
NUP93	NEK6
DGKE	NUF2
AKAP17A	EIF4A2
CCAR2	GSTK1
AURKA	CDKN2A
TSC22D1	NUP93
HSPA4L	USF2
YWHAQ	KIF23
DHX57	DDX56
MAGEB2	RPS9
CIAO1	MCM5
MAGEB2	CSNK2B
PELO	FANCI
YWHAZ	RAI14
YWHAZ	RALGPS2
CCAR2	MAGED1
KIF4A	DNPEP
SIRT2	KRT78
NUP93	PHB2
EBLN2	WRAP73
EIF6	RRP15
ELL	SIRT2
SMYD2	IGF2BP1
CCAR2	ACTR3B
ATG12	ATG16L1
ILK	IGF2BP1
FBL	PASK
PDHA1	DGKE
TIMM50	MAGED1
NUP98	PARP11
YWHAG	BAIAP2
ATRX	EIF4A2
NUDT1	MRM3
YWHAQ	DENND4A
NUP98	QRICH2
YWHAQ	PAK6
MCC	CCNA1
GAPDHS	NTHL1
BCAR3	PABPC1
CDK4	GEMIN4
VAC14	EIF4A2
RUNX3	PHB2
CDK2	CDK15
FANCI	GSTK1
PSMB1	PASK
VHL	KNTC1
MAGEB2	RPL28
AURKA	SOD2
WDR5	PASK
NEK6	FANCI
TIMM50	PHB2
FANCI	MAGED1
NTHL1	MRM3
YWHAB	CGN
YWHAG	KIF23
PSPH	PRPSAP1
BCAR3	IMPDH2
TSPAN7	KPTN
ZNRD2	PRMT1
BCAR3	IARS1
PTPRS	EIF4A2
KRT82	LYAR
EPPK1	PHB2
PSPH	STYXL1
PSPH	ASF1B
FIBP	GEMIN4
MAGEB2	RPS11
UBE2G2	MALT1
KPTN	AUP1
RASGRF2	EPPK1
YWHAG	DENND4A
PFAS	EPB41
TTC4	OBI1
RPS29	EIF4A2
AURKA	UBE2L3
BRIX1	CDC42BPB
TPM3	EIF4A2
CRB1	PSMD13
YWHAG	CGN
PRKD1	HDAC5
USP2	NFKB2
RELA	IQGAP2
TBKBP1	TBK1
TNFRSF1A	FANCD2
POLQ	AP2S1
GEMIN4	BRF2
BRF2	FANCI
NUP93	BRF2
DLG3	CAMK2A
KRT85	DLG3
S100A3	DLG3
EIF4A2	CMBL
CNTF	EXT2
CRB1	EXT2
CLEC2L	EXT2
FABP4	EXT2
FIBP	CLEC2L
MAGEA6	SNRNP40
LRPPRC	MAGEA6
MAGEA6	GCN1
