# Graph Type: undirected
A	B
TRIM29	HDAC9
TP53	HDAC9
MAX	WDR5
MAX	KAT5
MAX	PCGF6
EPC2	KAT5
VPS72	KAT5
KAT5	EPC1
ACTG2	KAT5
ACTB	KAT5
ACTG1	KAT5
LDHA	KAT5
HDGF	KAT5
TAF5L	KAT2A
TAF6	KAT2A
KAT2A	TADA1
KRT2	KAT2A
RAE1	KAT2A
PCBP2	KAT2A
SF3B3	KAT2A
KAT2A	MAPK8IP3
LDHA	KAT2A
HDGF	KAT2A
DNMT1	RAD9A
PYGO2	ASH2L
WDR5	PYGO2
RBBP5	PYGO2
KMT2D	PYGO2
NF2	PYGO2
PYGO2	PYGO2
KAT2A	PYGO2
PYGO2	TRRAP
SUPT3H	PYGO2
NCOR1	IRF5
HDAC1	IRF5
IRF5	SIN3A
IRF5	NCOR2
EP300	IRF5
IRF5	CREBBP
IRF5	KAT2B
DDB1	KMT5A
ATF3	SMAD2
H2AX	STK4
MARCHF5	TRAF6
TANK	MARCHF5
MAVS	MARCHF5
CBX5	SMARCA2
MIIP	HDAC6
LAMTOR1	RRAGA
H2AX	CFL1
CLU	H2AX
HSP90B1	H2AX
ANXA4	H2AX
ANXA5	H2AX
PDCD6	H2AX
H2AX	TMX1
SLC25A6	H2AX
TOR1B	H2AX
HSP90AA1	H2AX
H2AX	TRAP1
H2AX	PRDX6
H2AX	PLOD1
SOD2	H2AX
AIFM1	H2AX
H2AX	NONO
H2AX	YWHAZ
H2AX	YWHAE
TOR1A	H2AX
H2AX	HYOU1
H2AX	SSBP1
PGK1	H2AX
H2AX	MSN
H2AX	RPS10
H2AX	CPS1
H2AX	ILF2
ANXA2	H2AX
H2AX	S100A4
H2AX	PEF1
ANXA6	H2AX
H2AX	YWHAB
ALDOA	H2AX
PKM	H2AX
ENO1	H2AX
LDHB	H2AX
H2AX	ELAVL1
H2AX	HNRNPD
HNRNPDL	H2AX
H2AX	HNRNPH3
H2AX	HNRNPAB
H2AX	PCBP2
H2AX	BTF3
H2AX	MSI2
H2AX	ALYREF
SYNCRIP	H2AX
HNRNPA1	H2AX
H2AX	HNRNPA2B1
HNRNPC	H2AX
H2AX	VPS35
H2AX	ERP29
H2AX	VAT1
LMNA	H2AX
H2AX	P3H1
PDIA4	H2AX
H2AX	RAB11B
NACA	H2AX
H2AX	EIF2S2
H2AX	PDIA6
H2AX	CCT5
CTSD	H2AX
H2AX	ERO1A
P4HB	H2AX
H2AX	PRDX4
H2AX	PPIA
H2AX	PSMB3
RPLP2	H2AX
H2AX	PSMB4
H2AX	SUMF2
P4HA2	H2AX
RPN2	H2AX
TXNDC12	H2AX
H2AX	PTGES2
H2AX	HSD17B10
H2AX	TKT
H2AX	GANAB
H2AX	GLB1
H2AX	CMBL
PRKCSH	H2AX
H2AX	LGALS3BP
HEXA	H2AX
H2AX	ABHD10
H2AX	NAXE
H2AX	RMDN1
H2AX	HSPA9
H2AX	PRDX3
H2AX	HIBCH
CUL1	COMMD1
CUL3	COMMD1
CUL4A	COMMD1
CUL4B	COMMD1
COMMD1	CUL5
CUL7	COMMD1
CUL1	CUL1
CASP2	MDM2
UBE3A	NDUFA13
RNF4	RNF4
VCPIP1	WAC
VCP	WAC
RPS27A	MDM2
RPS7	MDM2
DNAJB1	FANCC
UBC	TAB2
KPNB1	SELENOS
KPNB1	KPNB1
KPNB1	AMFR
KPNB1	DERL1
SYVN1	AMFR
AKT1	CREBBP
AKT1	GSK3A
HSP90AB1	HIF1A
HIF1A	COMMD1
HSPA4	COMMD1
RHOA	SMURF2
MAP3K7	TNF
TP53	G3BP1
TP53	G3BP2
MDM2	G3BP2
UBE2D1	CUL2
VASH1	SVBP
TRIM21	IRF3
UBC	EPS15
CSF3R	FZR1
CSF3R	WSB1
CSF3R	WSB2
MDM4	CDKN1A
CDKN1A	PSMC5
MDM4	PSMC5
MDM4	PSMD2
MDM2	PSMD2
CDKN1A	PSMD2
APP	STUB1
HSPD1	STUB1
APP	HSPD1
APP	HSPA4
APP	HSP90AA1
KPNA4	TP53
TRIM24	TP53
ITCH	SNX9
ITCH	SNX18
RB1	SMYD2
MAPT	EP300
MAPT	SIRT1
KLF10	KDM5B
RARG	SUZ12
H2AZ1	RARG
MLLT3	MLLT10
CCNT2	MLLT3
MLLT3	KMT2A
MFN1	MARCHF5
CTNNB1	FAF1
RELA	CUL2
RPS6KB1	MDM2
TP53	PSMC5
NUP214	SMAD1
FOXO3	SMAD1
MDC1	UIMC1
WFS1	ATF6
WFS1	PSMA5
RANBP9	TRAF6
WFS1	SYVN1
ATF6	SYVN1
PSMD2	UFD1
SKP2	UFD1
SKP2	USP13
POLR1A	ERCC6
ERCC2	ERCC6
ERCC6	ERCC4
POLR2A	ERCC6
ERCC6	ERCC8
ERCC6	DDB1
HMGN1	ERCC6
PCNA	ERCC6
STING1	TRIM56
STING1	STING1
STING1	TBK1
HGS	GJA1
GJA1	TSG101
SMAD1	STUB1
SMAD5	STUB1
CBL	MYH9
CBL	ACTB
CBL	ACTG2
VIM	CBL
CBL	HSPA4
HSPA5	CBL
PDGFRB	MFGE8
CDC27	CREBBP
IRAK1	PPP2CA
LDLR	MYLIP
VLDLR	MYLIP
IFNGR1	STAT1
UBC	ANKS1A
CBL	EPHA8
EPHA8	ANKS1A
RPS6KB1	EP300
KAT2B	RPS6KB2
RPS6KB1	KAT2B
EP300	RPS6KB2
PSMA1	PSMD2
PSMD14	PSMA1
PSMA1	PSMC2
KRIT1	RCHY1
ATF3	CREBBP
CREBBP	ATG3
UBE2N	RNF168
ETS1	PLEC
UBC	ING1
PSMA4	RNF185
PSMA5	RNF185
PSMA7	RNF185
PSMC2	RNF185
PSMC3	RNF185
PSMC5	RNF185
PSMD12	RNF185
PSMD8	RNF185
RAD23B	RNF185
UBC	RNF185
UBB	RNF185
UBL4A	RNF185
RNF185	UBQLN1
RNF185	UBQLN2
RNF185	UBQLN4
RPN1	RNF185
RPN2	RNF185
BCAP31	RNF185
RNF185	MAGED1
RNF185	PHB2
PKM	RNF185
SGTA	RNF185
ERLIN2	RNF185
SRP54	RNF185
RNF185	SRP68
TMPO	RNF185
TOMM70	RNF185
HSP90B1	RNF185
HAX1	ATP5F1B
HAX1	HSPA5
HAX1	HSP90AB1
HAX1	HSPA9
HAX1	XIAP
HAX1	TUBB4A
HAX1	AKAP10
HAX1	EIF3D
FOXO3	EP300
CDC25B	BTRC
SMAD4	TRIM33
POR	FANCC
EDNRA	COPS5
UBE4B	CBL
UBE4B	UBE2D2
SPOP	NCOA3
IQCK	NCOA3
BABAM2	NCOA3
DCTN6	NCOA3
SPOP	CUL3
CSNK1E	NCOA3
TERF1	SKP1
SIAH1	HIPK2
CLU	COMMD1
CLU	NFKB1
CLU	NFKBIA
CLU	CUL1
CLU	BTRC
PIK3R1	PXK
EEA1	PXK
TFRC	PXK
LAMP2	PXK
TRIM21	FADD
FADD	IRF7
HGS	ABCA1
USP9X	MAP3K5
MDM2	TP63
MDM4	TP63
JUNB	SMURF1
SQSTM1	MYD88
MYD88	HDAC6
TRIP12	SMARCE1
KMT2A	SKP2
RAD21	SSU72
STAG2	SSU72
SMC1A	SSU72
SSU72	SMC3
RAD21	STAG2
RAD21	SMC3
PAK4	RAN
XRCC1	RAN
PCNA	MDM2
FUS	TARDBP
TARDBP	PABPN1
ABRAXAS2	THAP5
ETV5	COP1
ETV1	COP1
UBC	UBTD2
PIM1	SKP2
CDC34	SKP2
PIM1	CDC34
SNCA	HERPUD1
HERPUD1	SIAH1
UBC	MKI67
UBC	RBBP4
UBC	RANBP9
DNAJA2	UBC
UBC	DNAJA4
UBC	DNAJB1
HSPB1	UBC
SGTA	UBC
UBC	CCT5
UBC	CCT3
UBC	DNAJA3
UBC	CHD4
H2AZ1	UBC
RIOK3	UBC
CYB5R3	UBC
ACTL6A	UBC
UBC	ACTR2
UBC	ACTR1A
UBC	DCTN2
UBC	DYNC1I2
UBC	STOML2
UBC	NASP
UBC	RFC3
UBC	RUVBL1
UBC	RUVBL2
UBC	PURA
UBC	CYB5R1
NDUFS3	UBC
UBC	NDUFS1
UBC	NDUFA13
UBC	SDHA
UBC	UQCRC1
UBC	MTR
PFKFB2	UBC
UBC	DHCR7
UBC	ARV1
UBC	MTHFD1
UBC	CBS
PHGDH	UBC
UBC	HSD17B4
ALDOC	UBC
PYGL	UBC
UBC	PSAT1
PDHA1	UBC
UBC	HSD17B12
UBC	HADHA
UBC	NPLOC4
UBC	NUP133
UBC	FRY
UBC	GPN1
UBC	MAEA
UBC	STOM
UBC	HLA-C
UBC	TMEM39B
UBC	RIMKLB
UBC	PCMT1
UBC	ACP2
UBC	ADSL
UBC	COX5B
UBC	MTCH2
FLOT1	UBC
PPIH	UBC
UBC	PEF1
ERLIN1	UBC
UBC	XPO5
UBC	APPBP2
UBC	SEC61A1
TOM1	UBC
IPO7	UBC
UBC	EXOSC2
UBC	EXOSC8
UBC	FBL
UBC	HNRNPA0
UBC	HNRNPA3
UBC	HNRNPM
HNRNPR	UBC
UBC	HNRNPA2B1
HNRNPC	UBC
UBC	RBM3
UBC	SRSF1
PRPF4	UBC
UBC	POLR2C
UBC	DHX9
UBC	DDX18
SYNCRIP	UBC
SSB	UBC
UBC	RAE1
UBC	AIMP1
UBC	PABPN1
UBC	PCBP2
UBC	PTBP1
UBC	RBM39
UBC	ALYREF
UBC	BABAM2
UBC	PRKAR1A
UBC	CSNK2A1
UBC	CSNK2A2
UBC	COPS4
UBC	ATF6
UBC	GNB2
UBC	G3BP1
UBC	G3BP2
UBC	PPP2R1A
UBC	PPP1CB
SDCBP	UBC
TXNL1	UBC
UBC	TSC22D3
UBC	HIVEP1
UBC	MRPS18B
UBC	MRPS31
UBC	MRPS7
UBC	RPS12
RPLP0	UBC
RPLP2	UBC
UBC	RPL22
UBC	RPL9
EIF3H	UBC
EIF3F	UBC
UBC	MRPS22
UBC	MRPS35
UBC	DAP3
UBC	MRPL27
UBC	ATP5F1C
UBC	SLC25A13
UBC	VDAC3
UBC	NUP37
UBC	NUP43
UBC	ATP6V0D1
UBC	FARSA
NARS1	UBC
UBC	IARS1
UBC	ANKRD13A
UBC	BIRC6
UBC	PSMD8
UBC	APC
UBC	ANAPC7
UBC	SKP1
UBC	FBXO7
UBC	BTRC
UBC	ANKIB1
UBC	PSME3
UBC	RHBDD3
UBC	USP4
UBC	UCHL5
UBC	UBR2
UBE2C	UBC
UBC	UBE2N
UBC	UBE2D3
UBC	NEDD8
NACA	UBC
UBC	RNF213
UBC	TRIM26
UBC	AAR2
UBC	EMC3
UBC	DLG5
UBC	FGD2
UBC	GRWD1
HAX1	UBC
UBC	PCID2
MYCBP2	UBC
UBC	PNMA8A
UBC	LAS1L
UBC	ABRAXAS1
UBC	CHCHD3
UBC	PDE12
UBC	LSM12
ATG13	UBC
UBC	TCAF1
UBC	TNRC6B
UBC	MIB1
UBC	DCAF5
UBC	MMTAG2
UBC	BABAM1
UBC	KLHL12
UBC	NCDN
UBC	OCIAD1
UBC	PPP6R1
UBC	GPN3
UBC	TBC1D15
UBC	FHL1
UBC	FHL2
UBC	WDR5
UBC	RNF114
UBC	TRIM27
UBC	COPB1
UBC	ARCN1
COPE	UBC
UBC	HSPD1
DNAJB6	UBC
UBC	TRAP1
UBC	CCT6A
UBC	PHB
UBC	RFC5
UBC	NAP1L1
DHFR	UBC
UBC	DLST
UBC	HADHB
UBC	KPNB1
UBC	HNRNPL
UBC	HNRNPU
POLR1C	UBC
UBC	NCL
NPM1	UBC
UBC	PABPC4
UBC	DDX17
UBC	RBM12
UBC	TRIM28
UBC	TUFM
UBC	ATP5PO
UBC	VDAC1
UBC	RARS1
UBC	DARS1
PSMD14	UBC
UBC	CUL1
UBC	PRPF19
UBC	PJA1
UBC	RLIM
UBC	RNF19B
UBC	WDR26
UBC	SPART
UBC	RNF126
UBC	WDR77
UBC	MLF2
UBC	DNAJA1
UBC	GLUL
UBC	EMD
TRAFD1	UBC
UBC	C1QBP
UBC	HNRNPF
UBC	HNRNPH1
UBC	TNRC6A
UBC	RPS11
UBC	RPL28
UBC	AGO2
UBC	AGO1
UBC	ATP5F1A
UBC	KCTD10
PSMD10	UBC
PSMD12	UBC
UBC	UBR4
UBC	RAD23B
ERLIN2	UBC
UBC	AGO3
UBC	PSMC1
UBC	PSMC6
UBC	PSMD7
UBC	PSMA2
PSMA7	UBC
UBC	PSMB2
UBC	PSMB5
UBC	PSMB6
UBC	VCP
UBC	UBL4A
UBC	GET4
UBC	UBQLN1
UBC	PSMC3
UBC	PSMC4
UBC	PSMC5
PSMD11	UBC
UBC	PSMA1
UBC	PSMA3
UBC	PSMA5
UBC	PSMB1
UBC	PSMB7
NQO1	STUB1
BCL10	NFKBIA
BCL10	CSNK1A1
NFKBIA	CSNK1A1
CDKN2A	TRIP12
IRF1	STUB1
ESR1	SMAD3
ESR1	SMURF1
SREBF1	SIRT1
CTNNB1	NOTCH1
PCNA	UBE2B
CD4	MAPK14
TP53	USP10
MDM2	USP10
PSMC1	MDM2
PSMD4	MDM2
PSMC3	MDM2
PSMC5	MDM2
PSMC6	MDM2
PSMA7	MDM2
MDM2	PSMD1
ATXN3	STUB1
ID1	SMURF2
ANAPC15	ANAPC4
CDC16	ANAPC4
ANAPC7	ANAPC4
ANAPC11	ANAPC4
PARK7	TRAF6
SNCA	TRAF6
CDKN1B	RCHY1
OPTN	CYLD
RIPK1	OPTN
DVL1	CYLD
DVL3	CYLD
CTNNB1	SIAH1
JAG1	MIB1
HGS	JAG1
VPS35	WASHC2C
TBC1D5	VPS29
WASHC4	WASHC2C
WASHC5	WASHC4
WASHC5	WASHC2C
MAPK1	SMAD1
CAMK2G	RCHY1
RHOA	OTUB1
YAP1	BTRC
UBR5	TP53
HSP90AA1	PLAAT4
TUBB	KAT2A
YY1	INO80C
NFRKB	INO80E
TCF3	INO80E
INO80E	ACTR5
INO80E	ACTR8
YY1	INO80E
INO80D	INO80E
INO80E	MCRS1
YY1	NFRKB
TCF3	YY1
YY1	UCHL5
YY1	INO80D
YY1	MCRS1
INO80E	RUVBL1
ACTL6A	INO80E
INO80C	INO80E
H2AZ1	RUVBL1
H2AZ1	RUVBL2
ACTL6A	H2AZ1
H2AZ1	INO80C
INO80C	RUVBL1
NFRKB	RUVBL1
ACTR8	RUVBL1
RUVBL1	UCHL5
INO80D	RUVBL1
MCRS1	RUVBL1
INO80C	RUVBL2
INO80D	RUVBL2
MCRS1	RUVBL2
ACTR5	RUVBL1
ACTL6A	ACTR5
INO80C	ACTR5
NFRKB	ACTR5
ACTR8	ACTR5
ACTR5	UCHL5
INO80D	ACTR5
MCRS1	ACTR5
ACTL6A	ACTR8
INO80C	ACTR8
NFRKB	ACTR8
ACTR8	UCHL5
INO80D	ACTR8
MCRS1	ACTR8
ACTL6A	INO80C
NFRKB	INO80C
ACTL6A	INO80D
INO80D	INO80C
INO80D	NFRKB
INO80D	UCHL5
INO80D	MCRS1
ACTL6A	MCRS1
INO80C	MCRS1
NFRKB	MCRS1
MCRS1	UCHL5
ACTL6A	NFRKB
HSPA5	YY1
SP1	KLF9
SIRT3	SIRT5
MDM2	GNL3L
TP53	GNL3L
BIRC2	TSG101
UBE2B	BIRC2
UBE2D2	BIRC2
BIRC2	UBE2Q2
UBE2E1	BIRC7
UBE2D1	BIRC7
UBE2D2	BIRC7
UBE2D3	BIRC7
UBE2I	BIRC7
UBE2E1	XIAP
UBE2I	XIAP
BIRC2	BIRC7
BIRC7	BIRC7
UBC	BIRC2
UBC	IKBKG
CALCOCO2	TAB3
CALCOCO2	TBK1
CALCOCO2	IKBKE
CALCOCO2	MAP1LC3A
BCR	INPP5D
PRMT5	SNRPB
TP53	KMT5A
XRCC5	BAZ1A
SMARCA5	XRCC5
XRCC5	CHRAC1
XRCC5	POLE3
XRCC6	BAZ1A
TRIM28	ZNF274
SETDB1	ZNF274
IKBKB	TP53
TP53	BTRC
TSPYL5	USP7
XBP1	PSMA5
EGFR	TNK2
TP53	MSL2
HUWE1	HUWE1
MAF	FOS
RYK	CDC37
UBC	RYK
RYK	MIB1
RYK	PRKDC
RYK	ADGRA3
RYK	CELSR2
RYK	CD276
TP53	RYK
RYK	CNNM3
VIM	RYK
MAPK1	RYK
PCNA	RYK
RYK	NCKAP1
RYK	AGK
AIFM1	RYK
RYK	CNNM2
RYK	ADGRA2
RYK	WASF2
RYK	CTNNA1
RYK	DCHS1
RYK	NOMO3
RYK	NPEPPS
RYK	PCDH9
RYK	ABI1
RYK	APLP2
MAPK3	RYK
RYK	CYFIP1
RYK	ITM2B
RYK	PTPRS
RYK	ITM2C
PTPRF	RYK
RYK	TMED10
RYK	DYNC1H1
PCDH7	RYK
TFRC	RYK
PARP1	RYK
RYK	TMEM59
VPS26A	RYK
RYK	WASF3
RYK	DSC2
NPM1	RYK
RYK	TRAP1
RYK	VPS35
RYK	CTNNB1
RYK	RHOT2
RYK	ST13
RYK	CELSR3
RYK	OSGEP
IL7R	CBL
BBS1	PARK7
OTUD7B	PARK7
ARNT	CUL2
ARNT	ELOB
APEX1	MDM2
TP53	UIMC1
MDM2	UIMC1
IKBKB	KEAP1
IKBKB	CUL3
SRPK2	SRPK1
SRF	CSNK2A1
SRF	SRF
JUN	CREB1
PPP2CA	PRR14L
PPP2CA	SGO1
PPP2CA	PRR14
PPP2CA	ANKLE2
PPP2CA	CEP350
PPP2CA	SLMAP
PPP2CA	KPNB1
PPP2CB	PRR14L
PPP2CB	SGO1
PPP2CB	SIKE1
PPP2CB	PRR14
PPP2CB	PPME1
PPP2CB	ANKLE2
PFDN6	PPP2CB
PPP2CB	PPFIA1
PPP2CB	SLMAP
VBP1	PPP2CB
PPP2CB	PPP2R5E
PPP2CB	PPP2R5C
PPP2CB	PFDN5
PPP2CB	PFDN2
PPP2R1A	PRR14L
PPP2R1A	SGO1
PPP2R1A	PRR14
PPP2R1A	ZCCHC8
PPP2R1A	MTREX
PPP2R1A	ANKLE2
CEP43	PPP2R1A
PPP2R1A	RBM7
PPP2R1A	CEP350
PPP2R1A	SLMAP
PPP2R1A	LPP
PPP2R2A	CDCA4
MTREX	PPP2R2A
CCT5	PPP2R2A
CCT8	PPP2R2A
PPP2R2A	CCT2
CCT4	PPP2R2A
PPP2R2A	CCT7
PPP2R2A	TUBA4A
CCT3	PPP2R2A
PPP2R2A	FABP5
DSP	PPP2R2A
CCT6A	PPP2R2A
PPP2R2B	MTCL1
PPP2R2B	SKA2
PPP2R2B	PABIR1
PPP2R2B	CDCA4
PPP2R2B	IER5
PPP2R2B	ZBTB21
MTREX	PPP2R2B
CCT5	PPP2R2B
CCT8	PPP2R2B
CCT2	PPP2R2B
CCT4	PPP2R2B
PPP2R2B	CCT7
PPP2R2B	TRIM28
DYNLL1	PPP2R2B
ZNF136	PPP2R2B
CCT3	PPP2R2B
PRPH	PPP2R2B
PPP4C	PPP2R2B
PPP2R1B	PPP2R2B
PPP2R1A	PPP2R2B
PPP2CB	PPP2R2B
PPP2CA	PPP2R2B
MYO9A	PPP2R2B
CCT6A	PPP2R2B
CAPZB	PPP2R2B
CCT5	PTPA
CCT8	PTPA
CCT2	PTPA
CCT4	PTPA
PTPA	CCT7
CCT3	PTPA
PPP4C	PTPA
PPP2CA	PTPA
SLC25A3	PTPA
CCT6A	PTPA
PLOD3	PPP4C
PPP4C	WDR81
PPP4C	TRMT1L
PPP4C	ATAD3A
PPP4C	EEF1A1
DYNLL1	MOB4
PPP4C	PPME1
NFKB1	PPME1
PPP2CA	FGFR1OP2
MYH10	PPP2CB
PPP2R1A	FGFR1OP2
GAPDH	PPP2R2A
PPP2R2B	ZC3HAV1
PPP2R2B	ZCCHC8
PPP2R2B	ATXN2L
PPP2R2B	IER2
TUFM	PPP2R2B
MYH9	PTPA
PPP4C	ATAD3B
DNMT1	AKT1
TP53	NUB1
SENP3	STUB1
HSP90AA1	SENP3
TRAF3	BIRC2
BIRC2	TRAF6
BIRC2	MAVS
TP53	SKI
SKI	SIRT1
MDM2	CREBBP
KAT5	RUVBL2
SRCAP	KAT5
KAT5	MEAF6
SIN3A	MORF4L1
TRAF3	OTUB1
OTUB1	TRAF6
MAVS	OTUB1
ATF4	FBXW11
SH3RF1	PDCD6IP
XRCC1	POLK
RPA1	POLK
TNIP1	IKBKG
RBX1	ING3
CUL1	ING3
SKP2	ING3
HSPA5	UCHL5
SET	UCHL5
ASPRV1	UCHL5
ACTN4	UCHL5
PNP	UCHL5
ANXA1	UCHL5
HSPB1	UCHL5
PKM	UCHL5
DSP	UCHL5
GSTM3	UCHL5
SERPINB3	UCHL5
YWHAZ	UCHL5
TUBA4A	UCHL5
PRDX1	UCHL5
ANP32B	UCHL5
PRDX6	UCHL5
S100A16	UCHL5
EEF2	UCHL5
IDE	UCHL5
HBB	UCHL5
DUSP14	UCHL5
ANXA7	UCHL5
CFL1	UCHL5
RAB7A	UCHL5
TPI1	UCHL5
CAP1	UCHL5
NACA	UCHL5
TXN2	UCHL5
CTSD	UCHL5
CAPZA1	UCHL5
LMNA	UCHL5
ANP32E	UCHL5
ANXA4	UCHL5
S100A14	UCHL5
TXN	UCHL5
ACTB	UCHL5
ACTG1	UCHL5
PFN1	UCHL5
ACTC1	UCHL5
PRDX3	UCHL5
ECHS1	UCHL5
PRDX2	UCHL5
SRXN1	UCHL5
FTL	UCHL5
FTH1	UCHL5
CYB5A	UCHL5
CYB5B	UCHL5
KRT10	UCHL5
ARRB1	USP33
STAG1	PDS5B
SMC1A	STAG2
STAG2	SMC3
STAG2	PDS5B
PDS5B	SMC3
RAD21	PDS5A
SMC1A	PDS5A
SMC1A	PDS5B
MRPL58	ATAD3B
MRPL58	ACAD9
ACADVL	MRPL58
MRPL58	ACOT9
MRPL58	AP2M1
MRPL58	AFG3L2
ATP5PB	MRPL58
ATP5PD	MRPL58
ATP5MG	MRPL58
ATP5F1A	MRPL58
ATP5F1B	MRPL58
ATP5F1C	MRPL58
CPT2	MRPL58
MRPL58	HDHD5
MRPL58	NDUFA13
MRPL58	COQ8A
HSPD1	MRPL58
MRPL58	NDUFAF3
GTPBP10	MRPL58
CLPX	MRPL58
MRPL58	MCU
MRPL58	CHCHD1
C1QBP	MRPL58
COX4I1	MRPL58
MRPL58	DDX28
MRPL58	DHX30
DAP3	MRPL58
MRPL58	POLDIP2
TOP1	MRPL58
MRPL58	DNAJA3
ECI1	MRPL58
ETFA	MRPL58
ERAL1	MRPL58
MRPL58	FASTKD2
MRPL58	FLAD1
GLUD1	MRPL58
GRSF1	MRPL58
MRPL58	GRPEL1
MRPL58	MTG1
HSPA9	MRPL58
HNRNPDL	MRPL58
HK1	MRPL58
HARS2	MRPL58
MRPL58	HSD17B10
MRPL58	MALSU1
MRPL58	MTRES1
MRPL58	NOA1
MRPL58	IMMT
LETM1	MRPL58
LRPPRC	MRPL58
MRPL58	KARS1
ME2	MRPL58
MRPL58	NGRN
MRPL58	MCCC2
MMUT	MRPL58
MRPL58	METTL17
ALDH2	MRPL58
POLRMT	MRPL58
LONP1	MRPL58
MRPL58	MCAT
PMPCB	MRPL58
MRPL58	MRPL1
MRPL58	MRPL10
MRPL58	MRPL11
MRPL12	MRPL58
MRPL58	MRPL13
MRPL58	MRPL14
MRPL58	MRPL15
MRPL58	MRPL16
MRPL58	MRPL17
MRPL58	MRPL18
MRPL19	MRPL58
MRPL58	MRPL2
MRPL58	MRPL22
MRPL58	MRPL23
MRPL58	MRPL24
MRPL58	MRPL27
MRPL28	MRPL58
MRPL3	MRPL58
MRPL58	MRPL32
MRPL58	MRPL37
MRPL58	MRPL39
MRPL58	MRPL4
MRPL58	MRPL40
MRPL58	MRPL41
MRPL58	MRPL43
MRPL58	MRPL44
MRPL58	MRPL45
MRPL58	MRPL46
MRPL58	MRPL47
MRPL58	MRPL48
MRPL49	MRPL58
MRPL58	MRPL50
MRPL58	MRPL51
MRPL58	MRPL54
MRPL58	MRPL55
MRPL58	MRPL9
MRPS10	MRPL58
MRPS11	MRPL58
MRPS14	MRPL58
MRPS15	MRPL58
MRPL58	MRPS16
MRPL58	MRPS17
MRPL58	MRPS18A
MRPL58	MRPS18B
MRPL58	MRPS2
MRPS21	MRPL58
MRPS22	MRPL58
MRPL58	MRPS23
MRPS25	MRPL58
MRPL58	MRPS26
MRPL58	MRPS27
MRPL58	MRPS28
MRPL58	MRPS30
MRPL58	MRPS31
MRPS34	MRPL58
MRPS35	MRPL58
MRPS5	MRPL58
MRPS6	MRPL58
MRPL58	MRPS7
MRPS9	MRPL58
MRPL58	MRRF
MTIF2	MRPL58
HADHA	MRPL58
MRPL58	MTERF3
MRPL58	MTERF4
MRPL58	AGK
MRPL58	NDUFA9
NDUFS1	MRPL58
NDUFS2	MRPL58
NDUFS3	MRPL58
NDUFV1	MRPL58
MRPL58	NIPSNAP1
MRPL58	NSUN4
NME4	MRPL58
OAT	MRPL58
MRPL58	OXA1L
MRPL58	PTCD3
PMPCA	MRPL58
PRDX5	MRPL58
ECH1	MRPL58
FARS2	MRPL58
MRPL58	PNPT1
MRPL58	MRPL20
PHB	MRPL58
MRPL58	PHB2
PCCB	MRPL58
MRPL58	PYCR2
ALDH18A1	MRPL58
MRPL58	PDK3
MRPL58	MRM3
MRPL58	RPUSD3
SHMT2	MRPL58
MRPL58	SARS2
MRPL58	SFXN1
SSBP1	MRPL58
SLC25A12	MRPL58
SLC25A4	MRPL58
SLC25A1	MRPL58
SLC25A11	MRPL58
SLC25A3	MRPL58
MRPL58	SLC25A13
SLC25A5	MRPL58
SLC25A6	MRPL58
ERLIN2	MRPL58
MRPL58	SLIRP
MRPL58	STOML2
SDHA	MRPL58
MRPL58	SUCLA2
MRPL58	SUPV3L1
PRDX4	MRPL58
MRPL58	TARS2
TFAM	MRPL58
TRUB2	MRPL58
TUFM	MRPL58
MRPL58	YARS2
UQCRC1	MRPL58
UQCRC2	MRPL58
MRPL58	ISCA1
MRPL58	VARS2
VDAC1	MRPL58
MRPL58	VDAC3
MRPL58	RCC1L
MRPL58	YME1L1
EED	PHF19
PHF19	PHF19
MCL1	USP9X
HUWE1	USP9X
ZCCHC7	TENT4B
TENT4A	ZCCHC7
TP53	SOX4
MDM2	SOX4
SOX4	EP300
BECN1	TRAF6
UBC	BECN1
TNFAIP3	BECN1
BECN1	BECN1
CLTA	TNK2
BIN1	TNK2
TNK2	SMURF1
WWP2	TNK2
TNK2	HECW1
BAG3	TNK2
TNK2	MAGI3
TNK2	WWOX
SREBF1	MED25
SREBF1	MED17
SREBF1	MED21
SREBF1	CDK8
CDC73	CPSF2
CDC73	CPSF3
CDC73	RRAGA
CSTF2	CDC73
CDC73	KMT2C
CDC73	ASH2L
RBBP5	CDC73
CPSF4	CDC73
CSTF3	CDC73
SNW1	PRPF8
UBR5	SNW1
SNW1	ZMAT3
SNW1	EFTUD2
HNRNPU	SNW1
SNW1	DDB1
SFPQ	SNW1
SNW1	DDX23
SNW1	CDC5L
HSPA5	SNW1
PFKL	SNW1
SNW1	ABCF2
TUBB4A	SNW1
EEF1A1	SNW1
CDK8	MED22
CDK8	MED15
TBP	TAF4B
POLR2A	TAF15
HSP90AA1	PRKAA1
HSPA4	PRKAA1
PRKAA1	TUBA1A
PRKAA1	CDC37
PRKAA1	SIK3
YWHAZ	PRKAA1
YWHAE	PRKAA1
PRKAA1	SIK2
VCP	PRKAA1
PPP2R1B	PRKAA1
PPP2CA	PRKAA1
NUAK1	PRKAA1
MARK3	PRKAA1
PRKAA1	MARK4
PRKAA1	SNRK
YWHAZ	SIK3
MARK3	YWHAZ
TP53	CDK8
TP53	MED21
POLR2A	SUB1
POLR2B	SUB1
MED25	MED13
MED14	MED25
MED25	MED23
MED25	MED25
MED25	MED16
MED25	MED17
MED7	MED25
MED15	MED13
MED14	MED15
