# Graph Type: undirected
EEF1D	EEF1A2
ARPC2	ACTR3B
WDCP	RUVBL1
SMYD2	EPB41L3
STK16	CNTF
DOK2	PSMD10
ARPC1A	ACTR3B
YWHAG	EPB41L3
ARRB2	NOLC1
YWHAG	OSBPL3
EIF2D	RAD51
DKK1	CORO1A
RAD51	CAB39
ARRB1	KHK
WDCP	RUVBL2
TNFAIP8	PTP4A2
CCNH	MNAT1
ARRB2	TCOF1
PAK4	LRRK1
YWHAB	EPB41L3
ACTR2	ACTR3B
CCN4	UGGT1
SKP1	FBXO4
ARRB2	DDX27
PYGM	PACSIN3
CAMK2B	CAMK2A
CAMK2D	CAMK2A
PTP4A2	CNNM4
CDC25B	KRT85
CUL1	RPRM
EPPK1	TRAF6
AP3B1	ARRB2
RAB11A	RAB11FIP1
KRT85	TWF2
RPRM	FBXW11
EPPK1	ARF6
ARPC4	ACTR3B
SNRPB	KHK
ARPC1B	ACTR3B
MAGEB2	RPL23A
NUP93	PHLDA3
YWHAZ	EPB41L3
KRT85	LYAR
SNCG	HNF4A
KPNA3	ARRB2
EPPK1	GSTK1
YWHAG	RAI14
STK16	PASK
HSPA4L	KRT8
EPPK1	TSC22D1
FABP4	OSTF1
CDK4	RPRM
TNFAIP8	PTP4A1
MAGEB2	RPS19
KPNA4	ARRB2
YWHAQ	EPB41L3
TGFB1I1	CCNA1
DOK2	HSPA4L
LGALS9	JUP
S100A8	LRRK1
CASP4	SMC3
MAGEB2	RPL31
HSPA4L	TCEAL1
DOK2	RAB10
RAD51	TIMM13
CNTF	EXT1
ARRB1	BOP1
KRT85	PLEKHB2
HNF1A	PCBD1
S100A9	TAGLN
BCAS1	DYNLL1
BAG2	MLF2
MEN1	RPRM
LRRK1	RIMS1
MAGEB2	RPS14
GIPC1	NUP93
DEGS1	PYGM
MAGEB2	RPS16
LGALS9	SLC1A5
STK16	EBLN2
YWHAB	DENND4A
CTNNBIP1	PNMA2
LRRK1	C9orf163
TUSC2	EBLN2
YWHAQ	UNC79
ARRB2	BOP1
HNF1A	PCBD2
DOK2	ASF1B
STK16	HNF4A
SNCG	FABP4
TPM3	MCC
XRCC4	PNKP
CDK4	ACTR3B
DFFA	DFFB
DEDD	KHK
KHK	LYZ
RPA3	PARP3
PKIG	KPTN
NOL3	PNKP
RAD51D	RADIL
YWHAQ	RAI14
CHMP5	CAMK2A
GSN	CASP4
FBLN1	MPG
ARPC5L	ACTR3B
IQGAP2	UBAC1
TIMM50	AKTIP
ASF1B	CDIN1
EBLN2	CAB39
RPL23A	PACSIN3
CNTF	VHL
FANCC	EBLN2
SNCG	TIMP2
TUSC2	SGO2
ARRB2	ARRB1
BAG2	PSMC4
ATG12	ATG10
CASP4	DNAAF5
COPG2	MAGED1
PES1	ARRB1
S100A9	ASB3
ATIC	RADIL
MTHFD2	PARP3
PTP4A3	POLD1
DGKE	NUDC
FSCN1	GNAS
KCNIP4	KCNIP2
H2BC21	PARP3
PUF60	IGF2BP2
SPOP	DOK2
AURKA	RAB10
AP1S1	EBLN2
ARPC3	ACTR3B
PTP4A3	SMC2
MAGEB2	RPL36
YWHAG	KRT85
NEDD8	FBXO4
HNF4A	RAD50
SNCG	DYNLL1
CASP4	SRPRB
DOK2	DNAJB11
S100A9	USF2
ARPC5	ACTR3B
CASP4	NUP93
NOL3	PACSIN3
BCAR3	TARS1
NUP93	PNKP
CD2BP2	RAD54B
UNC79	SAE1
TRIP6	AFAP1L1
VHL	FSCN1
DGKE	SET
FAM107A	PPP2R2A
ARRB2	MRPL44
PAICS	DGKE
HNRNPL	DOCK4
MAGEB2	RPL34
CCNA1	VPS18
TWF2	ACTR3B
CCNH	RADIL
MYO1D	ILK
KHK	RNPS1
MOV10	PUF60
CD2BP2	KHK
PTP4A3	MSH2
CDK2	RADIL
KHK	CDK5RAP3
MOB3B	CNKSR2
LYZ	LRRK1
TIMM50	PELO
ARRB2	MRPL43
CASP4	SLC25A22
CEP135	WRAP73
FBL	ARRB2
CNTF	EIF3E
NUP93	NEK6
AURKA	CDKN2A
TSC22D1	NUP93
HSPA4L	USF2
CASP4	SMC1A
MAGEB2	RPS9
NUAK1	S100A9
CIAO1	MCM5
MAGEB2	CSNK2B
YWHAZ	RAI14
YWHAZ	RALGPS2
MAGEB2	LXN
ASAP2	TBRG4
PES1	ARRB2
KIF4A	DNPEP
SIRT2	KRT78
NUP93	PHB2
EBLN2	WRAP73
EIF6	RRP15
HNF4A	PABPC4
CEP162	LXN
ATG12	ATG16L1
CDK2	CASP4
FBL	PASK
YWHAB	OSBPL3
ARRB2	RPL7L1
BCAS1	RUVBL2
PDHA1	DGKE
LXN	THRAP3
TIMM50	MAGED1
NUP98	PARP11
YWHAG	BAIAP2
YWHAQ	DENND4A
YWHAQ	PAK6
PSMB1	CASP4
MCC	CCNA1
BCAR3	PABPC1
S100A9	ILK
RUNX3	PHB2
CDK2	CDK15
SMC2	CASP4
PSMB1	PASK
MYO1D	PELO
ARRB2	RAB5C
MAGEB2	RPL28
AURKA	SOD2
WDR5	PASK
CFLAR	DOK2
TIMM50	PHB2
MATR3	GSTK1
NTHL1	MRM3
CASP4	MSH6
PSPH	PRPSAP1
BCAR3	IMPDH2
EIF2S3	CASP4
TSPAN7	KPTN
BCAR3	IARS1
CASP4	CTNNBIP1
KRT82	LYAR
EPPK1	PHB2
PSPH	STYXL1
PPM1A	LXN
SNRPA1	HNF1A
PSPH	ASF1B
MAGEB2	RPS11
UBE2G2	MALT1
CASP4	GCN1
KPTN	AUP1
